age_head,sex_head,edu_group,marital_head,household_size,urban,region,consumption_pc,consumption_per_member,nonfood_share,welfare_ratio,age_group,hh_size_group,education_head,target,welfare_pc,hpline,spline,wgt
15.0,0.0,0,,2.0,1.0,1,11634.005208333334,139608.0625,1.0,4.85390414357982,0.0,0.0,1.0,2,148585.078125,30611.45703125,46233.65234375,1683.58424163305
15.0,0.0,0,,2.0,1.0,3,4089.6070963541665,49075.28515625,1.0,1.722199983079252,0.0,0.0,1.0,2,52719.05078125,30611.45703125,43537.83203125,684.667821052238
15.0,0.0,0,,8.0,0.0,4,2031.6966145833333,24380.359375,1.0,1.1714014347926565,0.0,2.0,1.0,1,35858.3046875,30611.45703125,40558.76171875,9108.68363838813
15.0,0.0,0,,2.0,1.0,1,12574.0078125,150888.09375,1.0,5.281407989987409,0.0,0.0,1.0,2,161671.59375,30611.45703125,46233.65234375,7810.15068107583
15.0,0.0,0,,9.0,0.0,1,5906.239583333333,70874.875,1.0,3.23772004788342,0.0,3.0,1.0,2,99111.328125,30611.45703125,42584.00390625,10101.5034400778
15.0,0.0,0,,8.0,0.0,3,3816.1809895833335,45794.171875,1.0,2.0402297801846814,0.0,2.0,1.0,2,62454.40625,30611.45703125,41684.78515625,1747.90921438073
15.0,0.0,0,,1.0,0.0,3,4547.575846354167,54570.91015625,1.0,1.7965892570094453,0.0,0.0,1.0,2,54996.21484375,30611.45703125,41684.78515625,476.702482539376
15.0,0.0,0,,9.0,0.0,3,643.7630931712963,7725.157118055556,1.0,0.32785748493625944,0.0,3.0,2.0,0,10036.1953125,30611.45703125,41684.78515625,582.636330302674
15.0,0.0,0,,6.0,0.0,4,3089.6963975694443,37076.356770833336,1.0,1.8047117264739394,0.0,2.0,1.0,2,55244.85546875,30611.45703125,40558.76171875,1301.24038988302
15.0,0.0,0,,9.0,0.0,2,3281.195891203704,39374.350694444445,1.0,1.6300366501359722,0.0,3.0,1.0,2,49897.796875,30611.45703125,41245.17578125,1480.34132351406
15.0,0.0,0,,2.0,0.0,1,22167.692708333332,266012.3125,1.0,10.0,0.0,0.0,1.0,2,351806.09375,30611.45703125,42584.00390625,5050.75205529246
15.0,0.0,0,,3.0,1.0,4,7245.387152777777,86944.64583333333,1.0,3.6994390248851117,0.0,1.0,2.0,2,113245.21875,30611.45703125,43190.125,9108.68242611213
15.0,1.0,0,,5.0,0.0,1,8279.0375,99348.45,1.0,3.593217817113767,0.0,1.0,1.0,2,109993.6328125,30611.45703125,42584.00390625,2020.30078859163
15.0,0.0,0,,3.0,0.0,3,6635.65234375,79627.828125,1.0,2.967460227628723,0.0,1.0,1.0,2,90838.28125,30611.45703125,41684.78515625,582.636367548126
